,TC,TN,TP
XH02,10.95,2.022,0.04
QDH03,9.366,0.738,0.008
QDH04,10.34,0.81,0.012
QDH05,9.612,0.851,0.012
HJ01,7.224,1.262,0.012
HJ02,6.564,1.334,0.016
HJ03,5.849,1.313,0.012
HJ04,7.86,1.323,0.012
HJ05,6.202,1.303,0.012
HJ06,7.835,1.262,0.016
NX04,3.972,0.748,0.02
NX05,3.691,0.718,0.016
XFJ01,8.252,0.389145,0.0084
XFJ02,8.934,0.471281,0.0084
XFJ03,3.66,0.461014,0.0123172
XFJ04,9.576,0.399412,0.0084
XFJ05,5.666,0.44048,0.0084
XFJ06,7.756,0.368611,0.0084
LXH01,7.62,1.066767,0.0123172
LXH02,8.713,0.943563,0.0201516
LXH03,6.289,0.707422,0.0084
LXH04,6.776,0.74849,0.0084
LXH05,6.664,0.861427,0.0084
LXH06,5.911,0.758757,0.0084
GZ01,9.575,0.605,0.012
GZ02,9.235,0.471,0.016
GZ03,7.788,0.533,0.02
GZ04,7.433,0.533,0.02
GZ06,7.309,0.738,0.016
