,taxa,class
1,Achnanthes_sp.,Algae
2,Amphora_ovalis,Algae
3,Cocconeis_placentula,Algae
4,Coscinodiscus_sp.,Algae
5,Cyclotella_sp.,Algae
6,Cymbella_sp.,Algae
7,Fragilaria_capucina,Algae
8,Fragilaria_sp.,Algae
9,Frustulia_sp.,Algae
10,Gomphonema_sp.,Algae
11,Melosira_granulata,Algae
12,Navicula_sp.,Algae
13,Nitzschia_sp.,Algae
14,Pinnularia_nobilis,Algae
15,Stauroneis_acuta,Algae
16,Surirella_sp.,Algae
17,Synedra_acus,Algae
18,Synedra_sp.,Algae
19,Tabellaria_sp.,Algae
20,Ankistrodesmus_acicularis,Algae
21,Ankistrodesmus_convolutus,Algae
22,Ankistrodesmus_falcatus,Algae
23,Ankistrodesmus_falcatus_var._mirabilis,Algae
24,Botryococcus_braunii,Algae
25,Chlamydomonas_sp.,Algae
26,Chlorella_sp.,Algae
27,Chodatella_cilliata,Algae
28,Closteriopsis_sp.,Algae
29,Coelastrum_microporum,Algae
30,Coelastrum_reticulatum,Algae
31,Coelastrum_sphaericum,Algae
32,Cosmarium_angulosum,Algae
33,Cosmarium_bioculatum,Algae
34,Cosmarium_circulare,Algae
35,Cosmarium_connatum,Algae
36,Cosmarium_depressum,Algae
37,Cosmarium_globosum,Algae
38,Cosmarium_quadrum,Algae
39,Cosmarium_sp.,Algae
40,Cosmarium_trilobulatum,Algae
41,Cosmarium_turgidum,Algae
42,Crucigenia_lauterbornei,Algae
43,Crucigenia_quadrata,Algae
44,Crucigenia_rectangularis,Algae
45,Crucigenia_tetrapedia,Algae
46,Dictyosphaeria_cavernosa,Algae
47,Elakatothrix_gelatinosa,Algae
48,Euastrum_elegans,Algae
49,Eudorina_elegans,Algae
50,Gloeocystis_sp.,Algae
51,Golenkinia_paucispina,Algae
52,Gonatozygon_kinahani,Algae
53,Kirchneriella_contorta,Algae
54,Kirchneriella_lunaris_,Algae
55,Mougeotia_sp.,Algae
56,Nephrocytium_agardhianum,Algae
57,Oedogonium_sp.,Algae
58,Oocystis_lacustris,Algae
59,Pediastrum_duplex,Algae
60,Pediastrum_tetras_var._tetraodon,Algae
61,Pleodorina_californica,Algae
62,Pteromonas_sp.,Algae
63,Radiococcus_sp.,Algae
64,Raphidonema_nivale,Algae
65,Scenedesmus_acuminatus,Algae
66,Scenedesmus_arcuatus,Algae
67,Scenedesmus_armatus,Algae
68,Scenedesmus_bicaudatus,Algae
69,Scenedesmus_bijuga,Algae
70,Scenedesmus_denticulatus,Algae
71,Scenedesmus_dimorphus,Algae
72,Scenedesmus_perforatas,Algae
73,Scenedesmus_quadricauda,Algae
74,Schroederia_robusta,Algae
75,Selenastrum_bibraianum,Algae
76,Sphaerocystis_schroeteri,Algae
77,Staurastrum_bifidum,Algae
78,Staurastrum_connatum,Algae
79,Staurastrum_crenulatum,Algae
80,Staurastrum_gracile,Algae
81,Staurodesmus_sp.,Algae
82,Tetraedron_bifurcatum,Algae
83,Tetraedron_caudatum,Algae
84,Tetraedron_hastatum_var._palatinum,Algae
85,Tetraedron_minimum,Algae
86,Tetraedron_trigonum,Algae
87,Tetraedron_trilobulatum,Algae
88,Tetraedron_tumidulum,Algae
89,Treubaria_triappendiculata,Algae
90,Westella_linearis,Algae
91,Mallomonas_acaroides,Algae
92,Mallomonas_oviformis,Algae
93,Synura_sp.,Algae
94,Chroomonas_caudata,Algae
95,Cryptomonas_erosa,Algae
96,Cryptomonas_marssonii,Algae
97,Cryptomonas_ovata,Algae
98,Glenodinium_pulvisculus,Algae
99,Peridinium_sp.,Algae
100,Euglena_interrupta,Algae
101,Euglena_oxyuris,Algae
102,Euglena_pisciformis,Algae
103,Lepocinclis_texta,Algae
104,Phacus_acuminatus,Algae
105,Phacus_longicauda,Algae
106,Phacus_pleuronectes,Algae
107,Strombomonas_ensifera,Algae
108,Trachelomonas_oblonga,Algae
109,Trachelomonas_reticulata,Algae
110,Anabaenopsis_circularis,Cyanobacteria
111,Aphanizomenon_sp.,Cyanobacteria
112,Aphanocapsa_sp.,Cyanobacteria
113,Aphanothece_sp.,Cyanobacteria
114,Chroococcus_sp.,Cyanobacteria
115,Cylindrospermopsis_raciborskii,Cyanobacteria
116,Lyngbya_sp.,Cyanobacteria
117,Merismopedia_elegans,Cyanobacteria
118,Merismopedia_punctata,Cyanobacteria
119,Merismopedia_tenuissima,Cyanobacteria
120,Microcystis_flosaquae,Cyanobacteria
121,Pseudanabaena_sp.,Cyanobacteria
122,Raphidiopsis_sp.,Cyanobacteria
123,Spirulina_major,Cyanobacteria
124,Bosmina_longirostris,Cladocera
125,Bosminopsis_deitersi,Cladocera
126,Ceriodaphnia_cornuta,Cladocera
127,Diaphanosoma_dubia,Cladocera
128,Moina_macrocopa,Cladocera
129,Moina_micrura,Cladocera
130,Moina_rectirostris,Cladocera
131,Nauplii,Copepod
132,Tropocyclops_parvus,Copepod
133,Tropocyclops_bopingi,Copepod
134,Mesocyclops_thermocyclopoides,Copepod
135,Thermocyclops_taihokuensis,Copepod
136,Phyllodiaptomus_tunguidus_,Copepod
137,Neodiaptomus_schmackeri,Copepod
138,Anuraeopsis_fissa,Rotifer
139,Asplanchna_priodonta,Rotifer
140,Brachionus_angularis,Rotifer
141,Brachionus_calyciflorus,Rotifer
142,Brachionus_diversicornis,Rotifer
143,Brachionus_falcatus,Rotifer
144,Brachionus_forficula,Rotifer
145,Brachionus_donneri_bifurcus_,Rotifer
146,Conochilus_univornis,Rotifer
147,Fillnia_longiseta,Rotifer
148,Hexarthra_mira,Rotifer
149,Keratella_cochlearis,Rotifer
150,Keratella_valga,Rotifer
151,Notholca_fujianensis,Rotifer
152,Ploesoma_hudsoni,Rotifer
153,Ploesoma_truncatum,Rotifer
154,Polyarthra_trigla,Rotifer
155,Polyarthra_euryptera,Rotifer
156,Synchaeta_stylata,Rotifer
157,Trichocerca_capucina,Rotifer
158,Trichocerca_longiseta,Rotifer
159,Trichocerca_similis,Rotifer
160,Trichocerca_cylindrica,Rotifer
161,Fillnia_opoliensis,Rotifer
